The Legend of Zelda: Breath of the Wild;Adventure;5;250000.0
Super Mario Odyssey;Platformer;5;220000.0
Red Dead Redemption 2;Action;5;270000.0
The Witcher 3: Wild Hunt;RPG;5;210000.0
God of War;Action;5;230000.0
Minecraft;Sandbox;5;180000.0
Grand Theft Auto V;Action;5;260000.0
Fortnite;Battle Royale;4;0.0
Overwatch;Shooter;4;200000.0
Apex Legends;Battle Royale;4;0.0
Call of Duty: Modern Warfare;Shooter;4;240000.0
FIFA 22;Sports;4;210000.0
League of Legends;MOBA;5;0.0
Counter-Strike: Global Offensive;Shooter;5;0.0
Among Us;Party;4;50000.0
Animal Crossing: New Horizons;Simulation;5;200000.0
Cyberpunk 2077;RPG;3;250000.0
Hollow Knight;Metroidvania;5;90000.0
Celeste;Platformer;5;80000.0
Dark Souls III;RPG;5;170000.0
Sekiro: Shadows Die Twice;Action;5;200000.0
Persona 5;RPG;5;160000.0
Pokémon Sword;RPG;4;180000.0
Pokémon Shield;RPG;4;180000.0
Super Smash Bros. Ultimate;Fighting;5;210000.0
Mario Kart 8 Deluxe;Racing;5;200000.0
Splatoon 2;Shooter;4;170000.0
DOOM Eternal;Shooter;4;190000.0
Resident Evil 2;Horror;5;150000.0
Monster Hunter: World;RPG;5;170000.0
Genshin Impact;RPG;4;0.0
Valorant;Shooter;4;0.0
Rocket League;Sports;4;0.0
The Last of Us Part II;Action;5;250000.0
Uncharted 4: A Thief's End;Action;5;200000.0
Assassin's Creed Valhalla;Action;5;230000.0
Hades;Roguelike;5;120000.0
Stardew Valley;Simulation;5;60000.0
Terraria;Sandbox;5;70000.0
Cuphead;Platformer;5;80000.0
Ori and the Will of the Wisps;Platformer;5;90000.0
Super Mario Party;Party;4;150000.0
Fire Emblem: Three Houses;Strategy;5;170000.0
Metroid Dread;Action;5;180000.0
It Takes Two;Adventure;5;140000.0
Death Stranding;Adventure;4;210000.0
Ghost of Tsushima;Action;5;230000.0
Marvel's Spider-Man;Action;5;220000.0
Fall Guys;Party;4;0.0
